"","Dim1","Dim2","Dim3","Dim4","Dim5","Dim6","Dim7","Dim8","Dim9","Dim10","Dim11","Dim12","Dim13","Dim14","Dim15","Dim16","Dim17","Dim18","Dim19","Dim20","Dim21","Dim22","Dim23","Dim24","Dim25","Dim26","Dim27"
"PRTB",-0.940088515048696,0.622823823875335,-2.84325133540933,3.18126935882029,0.250805517951456,0.0509593847413113,-1.71230693642084,0.368472801545036,1.6676771590241,-2.74607918134579,2.48125710425477,-4.63551174364485,-5.06870490501978,-2.95466368826483,-2.34239736465125,-0.398523576248915,1.36188070615493,-0.333297889552219,0.18936270648257,0.468892703834932,-0.478763309194062,0.0610532798908982,-0.159591368710908,-2.0882360967878e-15,-3.4201613476917e-15,-2.49723715503767e-15,2.1263711567924e-17
"PSB",0.15680224257634,-0.0262711828532296,-0.173546677790063,-0.558645106609857,-0.35809709670705,-0.00522139614520539,0.704656807799519,-0.115268503000814,0.264644255748819,0.089123837426189,1.10932659636603,-0.0286262645696012,0.398312734189908,-0.422975999030732,0.934012561371587,-2.47920513350607,-0.148615473005791,-2.38486573328459,0.72839585364742,0.99859685370719,0.895821454835725,0.34361408806934,0.732461818483412,-2.20116082483413e-15,-1.62979510927891e-16,-5.84327671802619e-16,6.92143289686513e-16
"PSD",-0.298574603179792,-0.11884486971818,0.128179222212411,-0.767771806338078,0.0176741180620566,-0.00358261192484089,-0.00764866203284469,-0.0229460593110665,-0.0575711804544657,-0.093404805795426,0.165218216599801,0.134576764495988,-0.440970175030726,0.163404446997309,0.357733972720212,0.262038607172051,0.759317187948286,0.175176270197608,2.03424311445687,-1.97360345822621,-1.28902794717712,0.360911909410288,1.50306445966813,2.20945286244042e-15,4.7224378253812e-16,7.35123845970208e-16,-3.06281052079422e-16
"PSDB",-0.779025550445967,0.0990074468035131,2.08488977781767,1.6032616167567,-0.033456342731729,-0.00376750716321564,0.0280348201574361,-0.0192196000060659,-0.0950914962919427,0.144473117475825,0.0800138731019323,-0.0298335421944778,0.122332482763195,0.130580900017952,-0.137208206103882,-0.0678311539108566,-0.0398275583660973,-0.148671150649398,-0.0368820092782358,-0.0366826458501729,0.00138879257794972,-0.0783486767647821,-0.0462497957046973,2.94338427272139,4.4335438848477e-14,-6.87006845688155e-14,1.81484890305927e-14
"PSOL",2.86718607960928,5.53657935868517,0.590214686729167,-0.313569947006864,0.0110707205564398,0.000580879517120451,0.229852193221387,1.33831696463507,-0.108713249383016,0.0737328277021257,-0.169332156155917,-0.0766148689913788,-0.318428920949648,0.18681411867888,-0.0375740098017062,0.216131256126095,0.137433660965853,0.0758951224101522,-0.0297552443342426,-0.0139334657649663,-0.0908311738803016,-0.035556156524888,-0.0892577750739722,-4.35505582526833e-14,-6.76484838187986e-15,5.17850758585921e-15,6.51495373361466
"PSTU",7.04079067016705,24.3890921932943,4.78111194467932,-5.49709963600983,36.3615666646846,-300.470209078892,-46.5716639654341,-107.257725480778,5.16323638760849,-2.76459313660092,5.34601002443366,2.23443615815894,8.04894204274941,-4.34157545054478,0.789914145037459,-3.98226908160212,-2.45585630847563,-1.26148704474247,0.377943280232031,0.170536662977334,1.04982957362125,0.388387552198861,0.912961142761562,-8.78045217085183e-14,-5.97494824967843e-14,1.61373723606181e-15,-3.75736782050607e-14
"PT",1.63719302821766,-1.00945684868815,-0.0616141679938286,0.333159540324463,0.0498802910064378,-0.00115762502023736,-0.298954078571532,-0.0138485315154275,-0.0854925241244689,-0.020938910112441,-0.163916665865951,0.0120390639380931,-0.10880160249379,0.159857417892943,-0.0501463464167255,0.157880977896991,-0.0295448173911308,0.1129902485017,-0.118956837779829,0.0331860138392493,0.169640717570093,0.0188303136833198,0.047972346186564,-6.36975059608114e-14,-0.584717066533984,-3.12896893739493,2.49212604731438e-15
"PV",1.63719302821766,-1.00945684868815,-0.0616141679938289,0.333159540324464,0.0498802910064377,-0.00115762502023797,-0.298954078571532,-0.0138485315154277,-0.085492524124468,-0.0209389101124417,-0.163916665865952,0.0120390639380923,-0.108801602493793,0.159857417892947,-0.0501463464167248,0.157880977896991,-0.0295448173911283,0.112990248501699,-0.11895683777983,0.0331860138392507,0.169640717570094,0.0188303136833214,0.0479723461865632,-2.12808109584908e-14,3.0021251207034,1.05810463505272,2.26756003045796e-15
"REDE",2.86718607960928,5.53657935868517,0.590214686729168,-0.313569947006862,0.0110707205564391,0.000580879517122771,0.229852193221386,1.33831696463506,-0.108713249383015,0.0737328277021249,-0.16933215615591,-0.0766148689913795,-0.318428920949652,0.186814118678889,-0.0375740098017052,0.216131256126092,0.137433660965853,0.0758951224101496,-0.0297552443342444,-0.0139334657649646,-0.0908311738802987,-0.0355561565248868,-0.0892577750739716,4.357744570779e-14,8.12809392776652e-15,-6.51148286983182e-15,-6.51495373361466
"REPUBLICANOS",-0.518618548850311,0.0156437354950891,-0.137602106919566,-0.83698013751551,0.0421956015774021,0.0103425405604555,-0.1261893842421,0.042339333845443,0.446564585885647,-0.118987896956955,0.335392120895678,0.129067752857102,-0.452695188703233,0.32124687211717,0.609369168981564,0.174158785489379,0.200746222600575,-1.24068567565469,-2.98875309487829,-1.92087831046964,-0.272187703851872,-0.104199526741627,-0.207668483518991,7.63104337941804e-16,-2.15848431491711e-15,1.18340840112724e-15,7.9421771718293e-16
