"","Dim1","Dim2","Dim3","Dim4","Dim5","Dim6","Dim7","Dim8","Dim9","Dim10","Dim11","Dim12","Dim13","Dim14","Dim15","Dim16","Dim17","Dim18","Dim19","Dim20","Dim21","Dim22","Dim23","Dim24","Dim25"
"PODE",0.413313391599932,-0.254400223948969,-0.415408533486439,-0.112190918225369,0.0562304215484297,0.293586170652963,-0.303139298423036,-0.0635572539296481,0.0636535042747806,-0.271807304437139,0.142572703526279,-0.0280736636336532,0.771866431733971,-0.212229440681822,-1.07873383654428,1.15756609915508,1.26295610870954,-2.58835894920599,0.557639765191832,0.127959628822682,0.35804646332816,-0.192063779052417,0.47920017183438,-1.28292339347331,-0.120566023641703
"PP",0.129154978123206,0.626567547620975,0.04673373456771,-0.172106550633184,-0.130427414446535,0.0532350052045891,0.0818417069887543,-0.0658778210396712,-0.234215926857761,-0.0675488855280839,-0.000904110241465594,-0.22024804303475,-0.569605768635759,0.270717705231041,0.13919336927097,-0.973586567253787,-1.15758571526653,-0.42945146349177,0.93047071816719,0.573858283940518,1.45652549816543,-0.70692393877307,-1.80250063330727,-0.728281313675902,0.717786054831187
"PRD",0.474665905211142,-0.335457573354951,-0.285666587516886,0.283949929124148,-0.174533887864544,0.670736370031205,-0.637036428651988,-0.318965877613129,-0.153109697162438,-0.281876431469935,-0.85308090543603,-0.247083575543747,0.00310635910886411,-1.34907548446678,-0.474688718087256,1.19910935440653,-1.73266884908012,1.49272826753035,0.319548860837455,-1.22280575537421,0.812226019758032,-0.0238866558552943,1.13771380521517,-0.978263235566513,-0.205836800184945
"PRTB",1.15465434501923,-2.97958970267397,-1.10099731581469,2.86109429458051,-2.34151999401396,-4.20789247892316,0.762609459379592,-3.5042004005046,1.95572687573549,4.5731810735791,0.124516621100126,-1.7694163039876,-0.240723741153175,-1.23839499634985,1.9438390786203,-0.735058567426908,1.15621676935166,-0.0493932171850482,1.73820578156741,0.187176786083918,1.03800338293575,-0.23640085897319,0.48515309212313,0.305090590744132,-0.715490063685807
"PSB",-0.753371161230904,0.577456257121193,0.994018528995611,0.00858334552351628,0.31559019697243,-0.758197820876589,0.733076889155782,0.227324634791903,0.16150865009194,-0.157232563002188,-0.319621432884374,-0.153022397422832,0.226154552950523,0.433124679214222,1.1582959130669,0.988714694517303,0.596604888590901,-0.199483054225781,-1.17689068563385,-1.8117245721603,0.729739805814976,-2.09310067368724,-0.0572412540502379,0.537911388680249,0.0263018559566935
"PSD",0.122297593088778,0.615911625214057,-0.0818121257587213,-0.259417585810121,-0.131875860972904,-0.0698564415232374,-0.114833502845293,0.341975490380012,-0.167013088587451,0.0198217021316662,0.450607528052588,-0.184212917962564,0.0511481620486202,0.160154992151899,0.504023100596286,-0.53044043723539,-0.119635132131753,-0.669347836814918,0.605470579206484,-1.24923571507498,0.397609705315905,1.79812366078341,0.843462836532519,1.30298487667524,1.0950681044221
"PSDB",0.597743004766493,0.733910281993875,-0.635638110689968,-0.441033041988653,-0.756568469965998,0.271970766253202,-0.628399987996603,0.64121458366981,-0.136446974253303,0.11341015635597,1.00246454337608,0.397214386983473,0.370620523523673,0.57144791948494,1.06838926553752,-0.934718001854734,1.83834145787509,1.64604241754925,-0.253059190962925,-0.309302032072051,0.109174153748663,0.227283145751045,0.13145464817401,-1.8761179308819,-0.586267155536709
"PSOL",-9.30958911230031,-1.6093229796085,-6.07496386305035,-0.334969465584803,-0.639427958151721,1.14041255155522,-0.015957380396039,-0.827962812067047,0.246374253104841,0.409160313314059,2.3183540199718,0.0606023687046368,2.2818153195181,-3.98920782525404,-3.93525365982566,-4.84142331620497,0.762429958932616,0.420021142546997,-6.31216220458936,1.8302480335831,5.88153791278388,-1.01922865683636,2.3169964323145,1.35758040638076,1.83651063724893
"PSTU",-41.8465689267189,-7.92473369373705,-105.177034710032,-24.9813473600582,15.2936796862263,-7.66054104975468,15.0554573949037,-6.34309073561567,-8.16245003988911,-13.1207897613161,-25.8471234731494,-7.94926958840655,-27.7238526424614,42.6586180323308,33.5235670826115,36.433338518246,-5.51683526321411,1.27995235521691,33.8413220125226,-12.1095533528757,-25.4912005390842,-0.342509968810645,-9.9796731033845,-3.33332158230397,-5.95499789625851
"PT",-2.56591745565571,0.687305618745261,0.870299141551502,0.519599687919896,-0.223969063739438,-0.0405510083890432,-0.255578282599432,-0.486594104197212,-0.50505630389637,0.565029425187006,-0.406449483328469,0.853319596859488,1.24378913168132,-1.54310602587764,-0.0273562239043085,-1.17544473563269,-0.464132058824144,-0.565418362164527,1.251336184587,-1.36815436235246,-2.55932600118608,0.353028536863044,-1.2706197572879,-0.709438591379237,-1.3716867813524
